PDI,MaxTemp,MinTemp,AvgTemp,MorningH,EveningH,Rainmm,WS
21.77,28.89,18.89,23.89,82.22,66.56,0.73,2.15
22.22,28.89,18.89,23.89,82.22,66.56,0.73,2.15
23.56,29.15,17.85,23.61,80.00,64.75,0.47,2.51
24.00,29.15,17.85,23.61,80.00,64.75,0.47,2.51
33.33,29.48,18.56,24.13,80.11,65.23,0.39,2.89
32.88,29.48,18.56,24.13,80.11,65.23,0.39,2.89
42.22,29.81,19.06,24.54,78.56,64.79,0.51,3.23
42.22,29.81,19.06,24.54,78.56,64.79,0.51,3.23
36.44,29.95,19.71,24.94,78.00,65.01,1.12,3.54
33.00,29.95,19.71,24.94,78.00,65.01,1.12,3.54
45.33,30.12,19.99,25.16,78.78,65.79,1.26,3.88
44.44,30.12,19.99,25.16,78.78,65.79,1.26,3.88
43.56,29.93,20.45,25.30,77.19,64.68,1.27,4.20
45.33,29.93,20.45,25.30,77.19,64.68,1.27,4.20
45.78,29.83,20.29,25.17,76.93,64.96,1.43,4.35
43.56,29.83,20.29,25.17,76.93,64.96,1.43,4.35
42.67,29.55,20.70,25.24,76.48,64.41,3.06,4.62
44.44,29.55,20.70,25.24,76.48,64.41,3.06,4.62
40.00,29.11,20.75,24.93,75.70,65.41,3.20,4.59
38.67,29.11,20.75,24.93,75.70,65.41,3.20,4.59
36.89,29.11,20.75,24.93,75.70,65.41,3.20,4.59
37.33,29.11,20.75,24.93,75.70,65.41,3.20,4.59
30.67,27.47,19.45,23.46,76.15,65.06,5.62,4.10
32.89,27.47,19.45,23.46,76.15,65.06,5.62,4.10
29.11,27.02,18.89,22.96,75.70,64.62,5.50,3.75
30.22,27.02,18.89,22.96,75.70,64.62,5.50,3.75
21.77,29.22,19.33,24.28,84.67,68.22,1.37,2.06
22.22,29.22,19.33,24.28,84.67,68.22,1.37,2.06
23.56,28.75,17.32,23.14,81.44,64.78,0.31,2.05
24.00,28.75,17.32,23.14,81.44,64.78,0.31,2.05
33.33,29.15,17.85,23.61,80.00,64.75,0.47,2.51
32.88,29.48,18.56,24.13,80.11,65.23,0.39,2.89
42.22,29.48,18.56,24.13,80.11,65.23,0.39,2.89
42.22,29.48,18.56,24.13,80.11,65.23,0.39,2.89
36.44,29.81,19.06,24.54,78.56,64.79,0.51,3.23
33.00,29.81,19.06,24.54,78.56,64.79,0.51,3.23
45.33,29.95,19.71,24.94,78.00,65.01,1.12,3.54
44.44,29.95,19.71,24.94,78.00,65.01,1.12,3.54
43.56,30.12,19.99,25.16,78.78,65.79,1.26,3.88
45.33,30.12,19.99,25.16,78.78,65.79,1.26,3.88
45.78,29.93,20.45,25.30,77.19,64.68,1.27,4.20
43.56,29.93,20.45,25.30,77.19,64.68,1.27,4.20
42.67,29.83,20.29,25.17,76.93,64.96,1.43,4.35
44.44,29.83,20.29,25.17,76.93,64.96,1.43,4.35
40.00,29.55,20.70,25.24,76.48,64.41,3.06,4.62
38.67,29.55,20.70,25.24,76.48,64.41,3.06,4.62
36.89,29.19,20.70,25.09,75.59,65.85,3.19,4.59
37.33,29.19,20.70,25.09,75.59,65.85,3.19,4.59
30.67,28.53,20.32,24.57,75.15,65.65,3.18,4.24
32.89,28.53,20.32,24.57,75.15,65.65,3.18,4.24
29.11,27.64,19.62,23.78,75.59,65.84,5.52,3.98
30.22,27.64,19.62,23.78,75.59,65.84,5.52,3.98
21.77,28.62,17.62,23.16,82.15,66.70,0.73,1.98
22.22,28.62,17.62,23.16,82.15,66.70,0.73,1.98
23.56,28.78,17.54,23.23,81.22,65.55,0.57,2.17
24.00,28.78,17.54,23.23,81.22,65.55,0.57,2.17
33.33,29.12,17.91,23.63,80.52,64.92,0.39,2.48
32.88,29.12,17.91,23.63,80.52,64.92,0.39,2.48
42.22,29.48,18.49,24.09,79.56,64.92,0.46,2.87
42.22,29.48,18.49,24.09,79.56,64.92,0.46,2.87
36.44,29.48,18.49,24.09,79.56,64.92,0.46,2.87
33.00,29.48,18.49,24.09,79.56,64.92,0.46,2.87
45.33,29.96,19.58,24.88,78.44,65.19,0.96,3.55
44.44,29.96,19.58,24.88,78.44,65.19,0.96,3.55
43.56,30.00,20.05,25.14,77.99,65.16,1.21,3.87
45.33,30.00,20.05,25.14,77.99,65.16,1.21,3.87
45.78,29.96,20.24,25.21,77.63,65.14,1.32,4.15
43.56,29.96,20.24,25.21,77.63,65.14,1.32,4.15
42.67,29.77,20.48,25.24,76.87,64.68,1.92,4.39
44.44,29.77,20.48,25.24,76.87,64.68,1.92,4.39
40.00,29.52,20.56,25.17,76.33,65.07,2.56,4.52
38.67,29.52,20.56,25.17,76.33,65.07,2.56,4.52
36.89,29.09,20.57,24.97,75.74,65.30,3.14,4.48
37.33,29.09,20.57,24.97,75.74,65.30,3.14,4.48
30.67,28.45,20.21,24.48,75.44,65.78,3.96,4.27
32.89,28.45,20.21,24.48,75.44,65.78,3.96,4.27
29.11,27.71,19.63,23.82,75.48,65.70,4.78,3.98
30.22,27.71,19.63,23.82,75.48,65.70,4.78,3.98
